Product Name,Price,Model,Production Country,(L x W x H cm),Color,Main Material,RAM,SIM,Size,memory
Samsung Galaxy A35 5G - 8GB RAM - 256GB - Ice Blue,"EGP 15,199.00", Samsung Galaxy A35,China,161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),Ice Blue,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,-,6.37 in,256GB
Samsung Galaxy A15 - 6.5-inch 8GB/256GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 9,990.00", Samsung Galaxy A15,Egypt,-,Light Blue,-,8GB RAM,Dual,6.5 in,256GB
Samsung Galaxy A05 - 6.5-inch 4GB/128GB Dual Sim 4G Mobile Phone - Light Green,"EGP 5,799.00", Samsung Galaxy A05,China,-,Light Green,-,4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy A35 5G - 8GB RAM - 128GB - Navy Black,"EGP 13,999.00", Samsung Galaxy A35,China,161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),Navy Black,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,-,6.37 in,128GB
Samsung Galaxy A35 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Navy,"EGP 13,999.00", Samsung Galaxy A35,Egypt,161.7 x 78 x 8.2 mm,Navy,-,8GB RAM,Dual,6.6 in,128GB
Samsung Galaxy A05s - 6.7 Inches -128GB-6GB Ram–4G Double Sim Mobile –Black,"EGP 6,499.00", Samsung Galaxy A05s,Egypt,168x77.8x8.8 ملم,Black,plastic,6GB RAM,Dual,6.7 in,128GB
"Samsung Galaxy A14 , 128 GEGA RAM 4 (MADE IN EGYPT) , BLACK","EGP 6,625.00", Samsung Galaxy A14,Egypt,-,black,plastic,4GB RAM,-, -,128GB
"Samsung Galaxy A14 , 128 GEGA RAM 4 (MADE IN EGYPT) , BLACK","EGP 6,625.00", Samsung Galaxy A14,Egypt,-,black,plastic,4GB RAM,-, -,128GB
Samsung Galaxy A35 5G - 8GB RAM - 128GB - Lilac,"EGP 13,999.00", Samsung Galaxy A35,China,161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),Lilac,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,-,6.37 in,128GB
"Samsung Galaxy  A34 5G 8GB Ram ,256GB - Awesome Graphite","EGP 14,399.00", Samsung Galaxy A34,-,-,Graphite,-,8GB RAM,-, -,256GB
"Samsung Galaxy A05S Dual Sim 6GB RAM,128GB - Silver","EGP 6,999.00", Samsung Galaxy A05S,China,-,Silver,-,6GB RAM,Dual, -,128GB
"Samsung Galaxy A05S Dual Sim 6GB RAM,128GB - Silver","EGP 6,999.00", Samsung Galaxy A05S,China,-,Silver,-,6GB RAM,Dual, -,128GB
"Samsung Galaxy  A35 5G Dual Sim, 8GB RAM, 128GB - Ice Blue","EGP 14,399.00", Samsung Galaxy A35,China,-,Ice Blue,-,8GB RAM,Dual, -,128GB
"Samsung Galaxy  A34 5G 8GB Ram ,256GB - Awesome Graphite","EGP 14,399.00", Samsung Galaxy A34,-,-,Graphite,-,8GB RAM,-, -,256GB
Samsung Galaxy A05s - 6.7 Inches -128GB-6GB Ram–4G Double Sim Mobile –Silver,"EGP 6,499.00", Samsung Galaxy A05s,Egypt,168x77.8x8.8 ملم,Silver,plastic,6GB RAM,Dual,6.7 in,128GB
Samsung Galaxy A35 Mobile Phone- 6.6 Inches - Dual SIM 5G 256GB/8GB - Awesome Navy,"EGP 15,151.00", Samsung Galaxy A35,Egypt,161.7 x 78 x 8.2,Navy,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A35 5G - 8GB RAM - 256GB - Lemon,"EGP 15,199.00", Samsung Galaxy A35,China,161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),Lemon,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,-,6.37 in,256GB
Samsung Galaxy A05 - 6.5-inch 6GB/128GB Dual Sim 4G Mobile Phone - Light Green,"EGP 6,699.00", Samsung Galaxy A05,China,-,Light Green,-,6GB RAM,Dual,6.5 in,128GB
Samsung Galaxy Tab A9 - 4GB RAM - 64GB - Graphite,"EGP 8,199.00", Samsung Galaxy Tab A9,China,211 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),Graphite,-,4GB RAM,-,8.31 in,64GB
Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/6GB - Black,"EGP 6,210.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8,Black,"Glass front, plastic back, plastic frame",6GB RAM,Dual,6.7 in,128GB
Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/6GB - Black,"EGP 6,210.00", Samsung Galaxy A05s,Egypt,168 x 77.8 x 8.8,Black,"Glass front, plastic back, plastic frame",6GB RAM,Dual,6.7 in,128GB
Samsung Galaxy A35 5G - 8GB RAM - 128GB - Iceblue,"EGP 13,999.00", Samsung Galaxy A35,China,161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),Iceblue,"Glass front (Gorilla Glass Victus+), plastic frame, glass back",8GB RAM,-,6.37 in,128GB
Samsung Galaxy A05 S- 6.5 inch 4GB/128GB Dual Sim 4G Mobile Phone - BLACK,"EGP 5,956.00", Samsung Galaxy A05,China,-,black,plastic,4GB RAM,Dual,6.5 in,128GB
Samsung Galaxy S24 Plus 6.7 Inch Dual SIM 5G 256GB/12GB -Mobile Phone - Marble Gray,"EGP 43,650.00", Samsung Galaxy S24,-,158.5 x 75.9 x 7.7 mm,Marble Gray,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",12GB RAM,Dual,6.7 in,256GB
Samsung Galaxy S24 Plus 6.7 Inch Dual SIM 5G 256GB/12GB Mobile Phone - Onyx Black,"EGP 43,650.00", Samsung Galaxy S24,-,158.5 x 75.9 x 7.7 mm,Onyx Black,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",12GB RAM,Dual,6.7 in,256GB
Samsung Galaxy S24 Plus 6.7 Inch Dual SIM 5G 256GB/12GB Mobile Phone - Onyx Black,"EGP 43,650.00", Samsung Galaxy S24,-,158.5 x 75.9 x 7.7 mm,Onyx Black,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",12GB RAM,Dual,6.7 in,256GB
Samsung Galaxy A05 - 6.5-inch 6GB/128GB Dual Sim 4G Mobile Phone - Silver,"EGP 6,225.00", Samsung Galaxy A05,China,168.8 x 78.2 x 8.8 mm,silver,plastic,6GB RAM,Dual,6.5 in,128GB
"Samsung Galaxy A25 5G Dual SIM, 8GB RAM, 256GB - Light Blue","EGP 11,299.00", Samsung Galaxy A25,China,-,Blue Black,-,8GB RAM,Dual, -,256GB
"Samsung Galaxy  A35 5G Dual Sim, 8GB RAM, 256GB - Awesome Lemon","EGP 14,999.00", Samsung Galaxy A35,China,-,lemon,-,8GB RAM,Dual, -,256GB
Samsung Galaxy A35 5G - 6.6-inch 8GB/256GB Dual Sim - Mobile Phone - Awesome Ice Blue,"EGP 15,555.00", Samsung Galaxy A35,Egypt,161.7 x 78 x 8.2 mm,Ice Blue,-,8GB RAM,Dual,6.6 in,256GB
Samsung Galaxy A10s - 6.2-inch 32GB/2GB Dual SIM 4G Mobile Phone - Blue,"EGP 2,300.00", Samsung Galaxy A10s,-,156.9 x 75.8 x 7.8 mm,Blue,"Front Glass, Plastic Body",2GB RAM,Dual,6.2 in,32GB
Samsung Galaxy A10s - 6.2-inch 32GB/2GB Dual SIM 4G Mobile Phone - Blue,"EGP 2,300.00", Samsung Galaxy A10s,-,156.9 x 75.8 x 7.8 mm,Blue,"Front Glass, Plastic Body",2GB RAM,Dual,6.2 in,32GB
Samsung Galaxy A6+ (2018) - 6.0-inch Dual SIM 64GB/4GB Mobile Phone - Blue,"EGP 7,999.00", Samsung Galaxy A6+,-,160.2 x 75.7 x 7.9 mm,Blue,-,4GB RAM,Dual,6 in,64GB
Samsung Galaxy A6+ (2018) - 6.0-inch Dual SIM 64GB Mobile Phone - Black,"EGP 4,750.00", Samsung Galaxy A6+,-,160.2 x 75.7 x 7.9 mm,Black,-,-,Dual,6 in,64GB
